normalized_detuning,estimated_force_nN
-1.000000000000000000e+00,7.285117295089752476e-01
-9.865771812080537106e-01,7.474412273490180780e-01
-9.731543624161074213e-01,7.671041475118041131e-01
-9.597315436241611319e-01,7.875380902169332176e-01
-9.463087248322147316e-01,8.087830409794138919e-01
-9.328859060402684422e-01,8.308815497134488526e-01
-9.194630872483221529e-01,8.538789252275622577e-01
-9.060402684563758635e-01,8.778234465812659870e-01
-8.926174496644295742e-01,9.027665929248751553e-01
-8.791946308724831738e-01,9.287632936116824167e-01
-8.657718120805368844e-01,9.558722005570799984e-01
-8.523489932885905951e-01,9.841559850242204144e-01
-8.389261744966443057e-01,1.013681661242267218e+00
-8.255033557046980164e-01,1.044520939513297275e+00
-8.120805369127517270e-01,1.076750611739498931e+00
-7.986577181208054377e-01,1.110452972605683764e+00
-7.852348993288590373e-01,1.145716279985359520e+00
-7.718120805369127480e-01,1.182635258503826226e+00
-7.583892617449664586e-01,1.221311650590723774e+00
-7.449664429530200582e-01,1.261854819788700732e+00
-7.315436241610737689e-01,1.304382411555269350e+00
-7.181208053691274795e-01,1.349021077301405303e+00
-7.046979865771811902e-01,1.395907267951775221e+00
-6.912751677852349008e-01,1.445188103884395447e+00
-6.778523489932886115e-01,1.497022328706277161e+00
-6.644295302013423221e-01,1.551581354936806267e+00
-6.510067114093960328e-01,1.609050410287950816e+00
-6.375838926174497434e-01,1.669629793829027431e+00
-6.241610738255033430e-01,1.733536251873823320e+00
-6.107382550335570537e-01,1.801004483887776564e+00
-5.973154362416107643e-01,1.872288789025094324e+00
-5.838926174496643640e-01,1.947664863991808604e+00
-5.704697986577180746e-01,2.027431762684835714e+00
-5.570469798657717853e-01,2.111914027336918132e+00
-5.436241610738254959e-01,2.201463999513201486e+00
-5.302013422818792066e-01,2.296464317005686873e+00
-5.167785234899329172e-01,2.397330599124825934e+00
-5.033557046979866278e-01,2.504514317657285272e+00
-4.899328859060402275e-01,2.618505843275480860e+00
