voltage_V,electric_field_V_per_m,energy_density_J_per_m3,F_electrostatic_N,F_EHD_air_N,F_residual_chi_0_N,F_total_air_chi_0_N,F_residual_chi_1e-06_N,F_total_air_chi_1e-06_N,F_residual_chi_1e-05_N,F_total_air_chi_1e-05_N,F_residual_chi_0.0001_N,F_total_air_chi_0.0001_N
1.0,50.0,1.1067734771250001e-08,5.533867385625e-13,2e-12,0.0,2.5533867385624998e-12,2.7669336928125003e-17,2.553414407899428e-12,2.766933692812501e-16,2.553663431931781e-12,2.7669336928125004e-15,2.5561536722553124e-12
101.33110367892976,5066.555183946488,0.00011364341842880477,5.6821709214402385e-09,2.0535985145580027e-08,0.0,2.6218156067020265e-08,2.841085460720119e-13,2.6218440175566337e-08,2.8410854607201195e-12,2.6220997152480985e-08,2.8410854607201193e-11,2.6246566921627467e-08
201.66220735785953,10083.110367892976,0.0004500987183316046,2.2504935916580233e-08,8.133529175288865e-08,0.0,1.0384022766946889e-07,1.1252467958290115e-12,1.0384135291626471e-07,1.1252467958290117e-11,1.0385148013742718e-07,1.1252467958290116e-10,1.0395275234905179e-07
301.9933110367893,15099.665551839464,0.0010093769674431707,5.0468848372158535e-08,1.8239991982192593e-07,0.0,2.3286876819408447e-07,2.5234424186079265e-12,2.3287129163650308e-07,2.523442418607927e-11,2.3289400261827055e-07,2.5234424186079267e-10,2.3312111243594525e-07
402.32441471571906,20116.22073578595,0.0017914781657635032,8.957390828817516e-08,3.237298693526918e-07,0.0,4.13303777640867e-07,4.478695414408758e-12,4.133082563362814e-07,4.4786954144087587e-11,4.1334856459501106e-07,4.4786954144087583e-10,4.1375164718230786e-07
502.6555183946488,25132.77591973244,0.0027964023132926027,1.3982011566463013e-07,5.053251403451862e-07,0.0,6.451452560098164e-07,6.991005783231507e-12,6.451522470155997e-07,6.991005783231507e-11,6.452151660676488e-07,6.991005783231507e-10,6.458443565881395e-07
602.9866220735786,30149.331103678927,0.004024149410030467,2.0120747050152333e-07,7.271857327994094e-07,0.0,9.283932033009327e-07,1.0060373525076169e-11,9.284032636744578e-07,1.0060373525076169e-10,9.284938070361834e-07,1.0060373525076168e-09,9.293992406534403e-07
703.3177257525083,35165.88628762541,0.0054747194559770975,2.737359727988549e-07,9.89311646715361e-07,0.0,1.2630476195142158e-06,1.3686798639942744e-11,1.2630613063128557e-06,1.3686798639942745e-10,1.2631844875006153e-06,1.3686798639942745e-09,1.26441629937821e-06
803.6488294314381,40182.4414715719,0.007148112451132496,3.574056225566248e-07,1.2917028820930414e-06,0.0,1.6491085046496662e-06,1.7870281127831238e-11,1.649126374930794e-06,1.787028112783124e-10,1.6492872074609444e-06,1.787028112783124e-09,1.6508955327624493e-06
903.9799331103679,45198.99665551839,0.00904432839549666,4.5221641977483307e-07,1.6343594389324505e-06,0.0,2.0865758587072835e-06,2.261082098874165e-11,2.0865984695282723e-06,2.2610820988741655e-10,2.086801966917171e-06,2.2610820988741655e-09,2.0888369408061577e-06
