chi_eff,F_residual_N_at_30kV
1e-08,2.4902403235312504e-10
1.0472898382363596e-08,2.608003385600703e-10
1.096816005273138e-08,2.7313354438256327e-10
1.1486842567375548e-08,2.860499855133382e-10
1.2030053494233242e-08,2.995772430557764e-10
1.2598952777950284e-08,3.1374420241917856e-10
1.319475521676706e-08,3.2858111499917656e-10
1.3818733056536336e-08,3.441196627750103e-10
1.4472218707411344e-08,3.6039302596159034e-10
1.5156607589006044e-08,3.774359538608261e-10
1.5873361110102086e-08,3.9528483906348985e-10
1.6624009789266134e-08,4.139777951600877e-10
1.7410156523040153e-08,4.3355473812665216e-10
1.8233480008684423e-08,4.540574715592688e-10
1.9095738328780967e-08,4.755297759393162e-10
1.999877270535287e-08,4.980175021200587e-10
2.0944511431514688e-08,5.215686692341911e-10
2.19349739890506e-08,5.462335672314292e-10
2.2972275360711512e-08,5.72064864265072e-10
2.405863054644067e-08,5.991177191568724e-10
2.5196359293170135e-08,6.274498991803362e-10
2.6387891048289348e-08,6.571219034139945e-10
2.7635770147361574e-08,6.881970919280096e-10
2.8942661247167517e-08,7.207418210800182e-10
3.031135501567576e-08,7.548255852090698e-10
3.174477409109193e-08,7.905211650302722e-10
3.3245979322709384e-08,8.279047830469708e-10
3.481817630688966e-08,8.670562663123702e-10
3.646472223212745e-08,9.080592168881023e-10
3.818913304781854e-08,9.51001190363776e-10
3.99950909720367e-08,9.959738828186644e-10
4.188645235435271e-08,1.0430733266247957e-09
4.386725591048494e-08,1.0924000955095418e-09
4.594173134636476e-08,1.1440595193155715e-09
4.811430839003264e-08,1.1981619089167724e-09
5.0389626250651505e-08,1.2548227917704118e-09
5.277254352483532e-08,1.314163158608529e-09
5.526814857144603e-08,1.3763097217953097e-09
5.78817703770128e-08,1.4413951859021389e-09
6.061898993497573e-08,1.5095585310781155e-09
6.348565216305224e-08,1.5809453098211162e-09
6.648787838417263e-08,1.6557079577830847e-09
6.96320793976389e-08,1.7340061192732999e-09
7.292496916841444e-08,1.8160069881545882e-09
7.637357916378027e-08,1.901885664860517e-09
7.998527336796708e-08,1.9918255302958183e-09
8.376776400682925e-08,2.0860186374185587e-09
8.772912801613356e-08,2.1846661213401093e-09
9.18778242886334e-08,2.287978628818738e-09
9.622271173675135e-08,2.396176768063819e-09
1.0077306820944617e-07,2.5094915798112798e-09
1.055386103036523e-07,2.6281650306760564e-09
1.1052951411260221e-07,2.7524505298351843e-09
1.1575643695533035e-07,2.8826134701446662e-09
1.2123054013376528e-07,3.0189317948457584e-09
1.2696351276599728e-07,3.161696591070611e-09
1.3296759674662126e-07,3.3112127114147895e-09
1.3925561288744649e-07,3.4677994249037726e-09
1.4584098829439863e-07,3.631791098743605e-09
1.5273778503907124e-07,3.803537912311433e-09
1.599607301861488e-07,3.983406604910502e-09
1.6752524724082172e-07,4.1717812588863656e-09
1.7544748908334597e-07,4.36906411977657e-09
1.837443724610725e-07,4.575676455245077e-09
1.92433614111598e-07,4.792059454635536e-09
2.015337685941735e-07,5.018675171064268e-09
2.1106426791015546e-07,5.25600750806472e-09
2.2104546299710195e-07,5.5045632528901815e-09
2.314986671851161e-07,5.764873158681167e-09
2.424462017082331e-07,6.037493077808331e-09
2.539114433680347e-07,6.323005148811015e-09
2.659188744512691e-07,6.622019039465943e-09
2.784941350080644e-07,6.93517324864038e-09
2.916640776023707e-07,7.263136469709712e-09
3.054568246515432e-07,7.606609018450873e-09
3.1990182847750674e-07,7.966324328460649e-09
3.35029934197723e-07,8.343050517291911e-09
3.508734455902715e-07,8.737592026652422e-09
3.674661940736688e-07,9.150791340168102e-09
3.848436109487433e-07,9.583530782379332e-09
4.0304280305680504e-07,1.0036734402811202e-08
4.221026320156903e-07,1.0511369949141448e-08
4.42063797202853e-07,1.1008450933678857e-08
4.6296892266272676e-07,1.152903879756543e-08
4.848626481239078e-07,1.2074245177322989e-08
5.077917243205403e-07,1.2645234278584738e-08
5.318051128214197e-07,1.3243225362079851e-08
5.569540905800136e-07,1.3869495347180262e-08
5.832923594286212e-07,1.452538153856836e-08
6.10876160750504e-07,1.521228448184863e-08
6.397643955748424e-07,1.5931670954200705e-08
6.70018750350959e-07,1.668507709645976e-08
7.017038286703837e-07,1.747411169331253e-08
7.348872892180388e-07,1.8300459608613322e-08
7.696399902471151e-07,1.9165885383155642e-08
8.060361408861345e-07,2.007223700258168e-08
8.441534596012993e-07,2.1021449843475638e-08
8.840733401525063e-07,2.2015550806067303e-08
9.258810253973945e-07,2.3056662642370534e-08
9.69665789314552e-07,2.414700848899855e-08
1.015521127634569e-06,2.5288916614335294e-08
1.0635449574860112e-06,2.6484825390199944e-08
1.1138398264826183e-06,2.773728849862067e-08
1.1665131316981962e-06,2.904898038483568e-08
1.2216773489967931e-06,3.042270196816574e-08
1.2794502732078734e-06,3.1861386622953214e-08
1.3399552696593371e-06,3.3368106442338716e-08
