time_s,drive_on,power_W,candidate_residual_device_N,thermal_lag_force_N,device_measured_force_N,dummy_load_measured_force_N
0.0,0.0,0.0,0.0,0.0,2.384517222547842e-10,-3.7676825452876675e-10
1.0,0.0,0.0,0.0,0.0,-1.1428984383934748e-09,-8.489254195637956e-10
2.0,0.0,0.0,0.0,0.0,-3.323156838994648e-10,2.1577580780594776e-09
3.0,0.0,0.0,0.0,0.0,3.764349760408099e-09,2.3970396730333873e-09
4.0,0.0,0.0,0.0,0.0,-3.394395928407566e-10,-3.4077684671222245e-10
5.0,0.0,0.0,0.0,0.0,8.275846343804279e-10,-4.269387334953712e-09
6.0,0.0,0.0,0.0,0.0,-4.6453865984847045e-10,1.234563160984517e-09
7.0,0.0,0.0,0.0,0.0,1.5142657591366734e-10,1.110720457017151e-09
8.0,0.0,0.0,0.0,0.0,1.203336087214292e-11,6.187831403138901e-10
9.0,0.0,0.0,0.0,0.0,8.96648131946319e-10,1.9629594986162317e-09
10.0,0.0,0.0,0.0,0.0,2.330615071094354e-09,-2.3296561929220802e-09
11.0,0.0,0.0,0.0,0.0,3.294787995206659e-09,4.017510772370278e-09
12.0,0.0,0.0,0.0,0.0,6.192401638183338e-10,-1.918855506283736e-09
13.0,0.0,0.0,0.0,0.0,1.1790937720712044e-09,1.4984458544017093e-09
14.0,0.0,0.0,0.0,0.0,-2.301729018371134e-09,-3.3746953888267033e-09
15.0,0.0,0.0,0.0,0.0,-1.7575348483124115e-10,-1.8605293745401018e-09
16.0,0.0,0.0,0.0,0.0,1.880578929767178e-09,3.0327372934506726e-09
17.0,0.0,0.0,0.0,0.0,1.7319372768343066e-09,-5.217996460016999e-10
18.0,0.0,0.0,0.0,0.0,4.2321946559010047e-10,1.679845210265596e-09
19.0,0.0,0.0,0.0,0.0,1.7727879191359049e-09,4.739107774384923e-10
20.0,0.0,0.0,0.0,0.0,9.815334179876379e-10,-2.0991631200034537e-10
21.0,0.0,0.0,0.0,0.0,2.4006125165186434e-09,2.7277006498653795e-09
22.0,0.0,0.0,0.0,0.0,5.787183139142222e-10,-4.733176493038007e-10
23.0,0.0,0.0,0.0,0.0,-7.113966311420694e-10,-3.5614762151269414e-09
24.0,0.0,0.0,0.0,0.0,6.716825138660473e-10,-1.6064801839034103e-09
25.0,0.0,0.0,0.0,0.0,-5.8611887517055514e-09,1.1023834574033884e-09
26.0,0.0,0.0,0.0,0.0,7.65771472770099e-10,7.910182127250164e-10
27.0,0.0,0.0,0.0,0.0,-7.296825650429568e-09,-3.1341165004708768e-09
28.0,0.0,0.0,0.0,0.0,-3.4469268148108364e-09,-1.4486850388164023e-09
29.0,0.0,0.0,0.0,0.0,9.035372018819683e-10,-1.1634426984044932e-09
30.0,0.0,0.0,0.0,0.0,9.550586745335905e-10,-7.309391882284501e-10
31.0,0.0,0.0,0.0,0.0,-2.324857560279861e-09,-2.7518271772031033e-09
32.0,0.0,0.0,0.0,0.0,-1.4242040837578777e-09,-1.2567422162389573e-09
33.0,0.0,0.0,0.0,0.0,2.741081977228264e-09,-1.457220970519055e-09
34.0,0.0,0.0,0.0,0.0,-9.680602631453524e-10,1.5430665195238388e-09
35.0,0.0,0.0,0.0,0.0,4.48584062480597e-09,1.6182426219804876e-09
36.0,0.0,0.0,0.0,0.0,-3.839706352692298e-12,-2.91620916177632e-10
37.0,0.0,0.0,0.0,0.0,8.160723537625337e-10,-7.840795917414631e-10
38.0,0.0,0.0,0.0,0.0,3.2337487969972152e-09,2.7984862407822683e-10
39.0,0.0,0.0,0.0,0.0,2.6205423238683913e-10,-1.63315021491115e-09
40.0,0.0,0.0,0.0,0.0,-2.0046879613816026e-09,-2.293664164334882e-09
41.0,0.0,0.0,0.0,0.0,-2.1945490338858024e-10,-1.880442417851434e-09
42.0,0.0,0.0,0.0,0.0,-7.122147238018187e-11,-1.2696263279429136e-09
43.0,0.0,0.0,0.0,0.0,-2.729483304403131e-09,-2.326947599584542e-09
44.0,0.0,0.0,0.0,0.0,-5.116641426816468e-10,3.2411911812574953e-10
45.0,0.0,0.0,0.0,0.0,-1.4843841879948735e-09,1.459431347567417e-09
46.0,0.0,0.0,0.0,0.0,1.8487155143748682e-09,-3.1741966015964836e-09
47.0,0.0,0.0,0.0,0.0,6.922374837051124e-11,5.02574224320667e-11
48.0,0.0,0.0,0.0,0.0,-5.655914982951401e-10,-4.398715905326712e-10
49.0,0.0,0.0,0.0,0.0,-2.1236386124515253e-10,6.830173710736058e-10
50.0,0.0,0.0,0.0,0.0,4.462440368123323e-10,-2.5877536207176126e-11
51.0,0.0,0.0,0.0,0.0,1.2336283993795597e-09,-2.907198559863262e-09
52.0,0.0,0.0,0.0,0.0,-1.999424457338763e-09,-2.5247785977143312e-09
53.0,0.0,0.0,0.0,0.0,-2.083175265242544e-09,5.884715116994545e-11
54.0,0.0,0.0,0.0,0.0,2.2093584308050603e-09,2.057561839491019e-09
55.0,0.0,0.0,0.0,0.0,-8.246737444094612e-10,-4.428374742086006e-09
56.0,0.0,0.0,0.0,0.0,-2.8336841851937485e-09,6.914531596031599e-10
57.0,0.0,0.0,0.0,0.0,8.876254187662093e-10,2.3792440105752864e-09
58.0,0.0,0.0,0.0,0.0,9.267396120653739e-10,-3.0605175241242623e-10
59.0,0.0,0.0,0.0,0.0,-3.0614305145134132e-09,1.1004049920528817e-09
60.0,1.0,2.0,3.187507612608e-07,3.75e-10,3.1958472469172717e-07,5.306377063420395e-09
61.0,1.0,2.0,3.187507612608e-07,7.453125e-10,3.2096723994565674e-07,6.807064076662246e-09
62.0,1.0,2.0,3.187507612608e-07,1.1109960937499999e-09,3.206105302579625e-07,4.133084672974696e-09
63.0,1.0,2.0,3.187507612608e-07,1.4721086425781248e-09,3.214868328709009e-07,3.0112263866985634e-09
64.0,1.0,2.0,3.187507612608e-07,1.828707284545898e-09,3.1777093034916435e-07,9.906383383757858e-09
65.0,1.0,2.0,3.187507612608e-07,2.1808484434890743e-09,3.2159369001428145e-07,6.3677889689072826e-09
66.0,1.0,2.0,3.187507612608e-07,2.5285878379454614e-09,3.206741095798046e-07,7.739688589360054e-09
67.0,1.0,2.0,3.187507612608e-07,2.8719804899711427e-09,3.206571614333218e-07,6.1869131596496416e-09
68.0,1.0,2.0,3.187507612608e-07,3.2110807338465034e-09,3.2370295321348596e-07,6.445048479510101e-09
69.0,1.0,2.0,3.187507612608e-07,3.5459422246734222e-09,3.2525525250682187e-07,9.218687827232847e-09
70.0,1.0,2.0,3.187507612608e-07,3.876617946865005e-09,3.2621611931686573e-07,8.404816989123211e-09
71.0,1.0,2.0,3.187507612608e-07,4.203160222529192e-09,3.2558353722634097e-07,1.091380142148167e-08
72.0,1.0,2.0,3.187507612608e-07,4.525620719747577e-09,3.230569136172872e-07,1.1353150710948003e-08
73.0,1.0,2.0,3.187507612608e-07,4.844050460750733e-09,3.243002520476034e-07,1.1376359932540874e-08
74.0,1.0,2.0,3.187507612608e-07,5.158499829991349e-09,3.2544290683435984e-07,1.1494866654065102e-08
75.0,1.0,2.0,3.187507612608e-07,5.469018582116457e-09,3.2446213574151535e-07,1.4452668358984584e-08
76.0,1.0,2.0,3.187507612608e-07,5.775655849840001e-09,3.247879454864631e-07,9.437917951982229e-09
77.0,1.0,2.0,3.187507612608e-07,6.078460151717001e-09,3.2647672767626934e-07,1.1735759629355465e-08
78.0,1.0,2.0,3.187507612608e-07,6.377479399820539e-09,3.2500967536856866e-07,1.4380126326093662e-08
79.0,1.0,2.0,3.187507612608e-07,6.672760907322781e-09,3.239649482953755e-07,1.4909579660482574e-08
80.0,1.0,2.0,3.187507612608e-07,6.964351395981246e-09,3.248861665251095e-07,9.799404182909976e-09
81.0,1.0,2.0,3.187507612608e-07,7.25229700353148e-09,3.272708790197989e-07,1.2277371645082591e-08
82.0,1.0,2.0,3.187507612608e-07,7.536643290987338e-09,3.2629339113418724e-07,1.5874236378839125e-08
83.0,1.0,2.0,3.187507612608e-07,7.817435249849996e-09,3.2724861646438664e-07,1.4426865160479128e-08
84.0,1.0,2.0,3.187507612608e-07,8.09471730922687e-09,3.2818563705443127e-07,1.4050786866479728e-08
85.0,1.0,2.0,3.187507612608e-07,8.368533342861534e-09,3.2636961167786633e-07,1.3471325846922067e-08
86.0,1.0,2.0,3.187507612608e-07,8.638926676075765e-09,3.289021842641354e-07,1.3382447382268696e-08
87.0,1.0,2.0,3.187507612608e-07,8.905940092624818e-09,3.284143865603416e-07,1.4966799434758983e-08
88.0,1.0,2.0,3.187507612608e-07,9.169615841467008e-09,3.25450750928444e-07,1.4122921232567341e-08
89.0,1.0,2.0,3.187507612608e-07,9.42999564344867e-09,3.3106536648662115e-07,1.4776854062230915e-08
90.0,1.0,2.0,3.187507612608e-07,9.687120697905562e-09,3.2743639247119174e-07,1.525062126556108e-08
91.0,1.0,2.0,3.187507612608e-07,9.941031689181743e-09,3.253816022636114e-07,1.396580068849257e-08
92.0,1.0,2.0,3.187507612608e-07,1.019176879306697e-08,3.2685244263469434e-07,1.6611865886739152e-08
93.0,1.0,2.0,3.187507612608e-07,1.0439371683153634e-08,3.27148042622597e-07,2.159893903688511e-08
94.0,1.0,2.0,3.187507612608e-07,1.0683879537114214e-08,3.2953898743522925e-07,1.2436533529966644e-08
95.0,1.0,2.0,3.187507612608e-07,1.0925331042900285e-08,3.2912839129260777e-07,1.6855838212206215e-08
96.0,1.0,2.0,3.187507612608e-07,1.1163764404864031e-08,3.292408617303828e-07,1.4902023012355816e-08
97.0,1.0,2.0,3.187507612608e-07,1.1399217349803231e-08,3.313893825415682e-07,1.7789115995077407e-08
98.0,1.0,2.0,3.187507612608e-07,1.163172713293069e-08,3.3106223911611606e-07,1.6936684591509342e-08
99.0,1.0,2.0,3.187507612608e-07,1.1861330543769058e-08,3.312441875458576e-07,1.857392226269308e-08
100.0,1.0,2.0,3.187507612608e-07,1.2088063911971945e-08,3.3165848208742936e-07,1.960528589900831e-08
101.0,1.0,2.0,3.187507612608e-07,1.2311963113072294e-08,3.3229499370987674e-07,1.7840624262517427e-08
102.0,1.0,2.0,3.187507612608e-07,1.2533063574158892e-08,3.27067918151404e-07,1.991887701878736e-08
103.0,1.0,2.0,3.187507612608e-07,1.2751400279481905e-08,3.30773285035753e-07,1.3162679689172357e-08
104.0,1.0,2.0,3.187507612608e-07,1.2967007775988382e-08,3.273573489078094e-07,2.122622681943759e-08
105.0,1.0,2.0,3.187507612608e-07,1.3179920178788525e-08,3.320028012931841e-07,1.8987067689910352e-08
106.0,1.0,2.0,3.187507612608e-07,1.339017117655367e-08,3.3213166649290494e-07,2.0581855995604666e-08
107.0,1.0,2.0,3.187507612608e-07,1.359779403684675e-08,3.344396198472261e-07,1.6173278368695033e-08
108.0,1.0,2.0,3.187507612608e-07,1.3802821611386165e-08,3.349288516576284e-07,1.7136014912252876e-08
109.0,1.0,2.0,3.187507612608e-07,1.4005286341243838e-08,3.3316159769854857e-07,1.9271649520625002e-08
110.0,1.0,2.0,3.187507612608e-07,1.420522026197829e-08,3.319552593679845e-07,1.9125637682321536e-08
111.0,1.0,2.0,3.187507612608e-07,1.440265500870356e-08,3.34123738494595e-07,1.9903541909069184e-08
112.0,1.0,2.0,3.187507612608e-07,1.4597621821094766e-08,3.322925478072461e-07,2.168190518606122e-08
113.0,1.0,2.0,3.187507612608e-07,1.4790151548331082e-08,3.3353812750624437e-07,1.6155710988108273e-08
114.0,1.0,2.0,3.187507612608e-07,1.4980274653976944e-08,3.3570330854869847e-07,2.180490055722987e-08
115.0,1.0,2.0,3.187507612608e-07,1.5168021220802233e-08,3.328032397896234e-07,2.0042798143853863e-08
116.0,1.0,2.0,3.187507612608e-07,1.5353420955542202e-08,3.357155394948272e-07,1.9785530362954887e-08
117.0,1.0,2.0,3.187507612608e-07,1.5536503193597926e-08,3.356420671917825e-07,1.741563763068435e-08
118.0,1.0,2.0,3.187507612608e-07,1.5717296903677954e-08,3.325584745302163e-07,2.1526679775279888e-08
119.0,1.0,2.0,3.187507612608e-07,1.5895830692381977e-08,3.3659438020961676e-07,1.5853047146297706e-08
120.0,1.0,2.0,3.187507612608e-07,1.60721328087272e-08,3.362200267602702e-07,2.213672277554791e-08
121.0,1.0,2.0,3.187507612608e-07,1.6246231148618114e-08,3.352008441841634e-07,1.801241158802632e-08
122.0,1.0,2.0,3.187507612608e-07,1.6418153259260388e-08,3.3364426760400504e-07,2.12582689837853e-08
123.0,1.0,2.0,3.187507612608e-07,1.658792634351963e-08,3.336202755671685e-07,2.1065811259727828e-08
124.0,1.0,2.0,3.187507612608e-07,1.6755577264225637e-08,3.344310133712196e-07,2.3794111057606843e-08
125.0,1.0,2.0,3.187507612608e-07,1.6921132548422813e-08,3.3675708273580673e-07,2.124672418076875e-08
126.0,1.0,2.0,3.187507612608e-07,1.7084618391567527e-08,3.3392412931756473e-07,2.0362894655335443e-08
127.0,1.0,2.0,3.187507612608e-07,1.7246060661672936e-08,3.3687184641971266e-07,2.0883264428779235e-08
128.0,1.0,2.0,3.187507612608e-07,1.7405484903402025e-08,3.336727351064452e-07,2.4585717175787148e-08
129.0,1.0,2.0,3.187507612608e-07,1.75629163421095e-08,3.359055404340318e-07,2.325423387147634e-08
130.0,1.0,2.0,3.187507612608e-07,1.7718379887833133e-08,3.3668843665778114e-07,2.1550297161219496e-08
131.0,1.0,2.0,3.187507612608e-07,1.7871900139235217e-08,3.41512921690153e-07,2.198683251059867e-08
132.0,1.0,2.0,3.187507612608e-07,1.802350138749478e-08,3.3401963133725406e-07,1.9461812292790407e-08
133.0,1.0,2.0,3.187507612608e-07,1.8173207620151092e-08,3.3986799801393134e-07,2.3507850485055068e-08
134.0,1.0,2.0,3.187507612608e-07,1.8321042524899203e-08,3.3737148861367374e-07,1.934432208223435e-08
135.0,1.0,2.0,3.187507612608e-07,1.8467029493337964e-08,3.3804013459016987e-07,2.449893470089108e-08
136.0,1.0,2.0,3.187507612608e-07,1.8611191624671243e-08,3.3759864871224764e-07,2.338233087240265e-08
137.0,1.0,2.0,3.187507612608e-07,1.8753551729362852e-08,3.383937666265533e-07,2.802711538079041e-08
138.0,1.0,2.0,3.187507612608e-07,1.889413233274582e-08,3.373375233848218e-07,2.1179463217238625e-08
139.0,1.0,2.0,3.187507612608e-07,1.9032955678586494e-08,3.406918173023014e-07,2.329935115386258e-08
140.0,1.0,2.0,3.187507612608e-07,1.9170043732604162e-08,3.370078627049547e-07,2.722462998640587e-08
141.0,1.0,2.0,3.187507612608e-07,1.9305418185946612e-08,3.403206485911051e-07,2.613267087315078e-08
142.0,1.0,2.0,3.187507612608e-07,1.943910045862228e-08,3.369011274789962e-07,2.2477781534816253e-08
143.0,1.0,2.0,3.187507612608e-07,1.9571111702889502e-08,3.382013692708869e-07,2.4436950614563448e-08
144.0,1.0,2.0,3.187507612608e-07,1.9701472806603384e-08,3.363083089628229e-07,2.411033946398922e-08
145.0,1.0,2.0,3.187507612608e-07,1.983020439652084e-08,3.3949101309801585e-07,2.4786110916873073e-08
146.0,1.0,2.0,3.187507612608e-07,1.9957326841564333e-08,3.4159834001621735e-07,2.293924851065424e-08
147.0,1.0,2.0,3.187507612608e-07,2.0082860256044776e-08,3.3867890915720304e-07,2.4270948650254828e-08
148.0,1.0,2.0,3.187507612608e-07,2.0206824502844216e-08,3.3856381436623635e-07,2.1365052527222367e-08
149.0,1.0,2.0,3.187507612608e-07,2.0329239196558664e-08,3.3685076653122283e-07,2.4941577405854963e-08
150.0,1.0,2.0,3.187507612608e-07,2.045012370660168e-08,3.3874229966029707e-07,2.5680167908001177e-08
151.0,1.0,2.0,3.187507612608e-07,2.056949716026916e-08,3.361346699016261e-07,2.4432723844170474e-08
