frequency_Hz,frequency_offset_Hz,lorentzian_resonance_gain,candidate_residual_force_N,mechanical_artifact_force_N,measured_force_N
2448500000.0,-1500000.0,0.004610206201600997,1.1250910950023338e-09,5.941299346775118e-10,2.0777722995924777e-09
2448507500.0,-1492500.0,0.004656440056353591,1.1363741691198668e-09,5.984515753229813e-10,2.1748191123863785e-09
2448515000.0,-1485000.0,0.004703371798465161,1.1478275581470946e-09,6.028195258757707e-10,4.469022234503739e-09
2448522500.0,-1477500.0,0.004751015522147488,1.1594547016855166e-09,6.072344350788192e-10,3.436911628593493e-09
2448530000.0,-1470000.0,0.0047993856786331356,1.1712591264652525e-09,6.116969627844486e-10,2.49669820754872e-09
2448537500.0,-1462500.0,0.004848497087064953,1.183244449002555e-09,6.162077801767376e-10,4.726058011618417e-09
2448545000.0,-1455000.0,0.004898364945774426,1.1954143783522181e-09,6.207675699989297e-10,-5.61344160294554e-10
2448552500.0,-1447500.0,0.004949004843964743,1.2077727189587541e-09,6.25377026785988e-10,5.536466802452466e-10
2448560000.0,-1440000.0,0.005000432773815243,1.2203233736104071e-09,6.300368571024356e-10,-2.791652098207168e-12
2448567500.0,-1432500.0,0.005052665143024725,1.233070346500265e-09,6.347477797856029e-10,1.0881985199743322e-09
2448575000.0,-1425000.0,0.005105718787811772,1.2460177463989061e-09,6.395105261944244e-10,-8.678440225192872e-10
2448582500.0,-1417500.0,0.005159610986391262,1.2591697899432546e-09,6.443258404639195e-10,3.1737975240359826e-09
2448590000.0,-1410000.0,0.005214359472947051,1.2725308050465232e-09,6.49194479765497e-10,1.4772798906144732e-09
2448597500.0,-1402500.0,0.005269982452121737,1.2861052344343468e-09,6.541172145732354e-10,-1.0013901399977337e-09
2448605000.0,-1395000.0,0.005326498614045505,1.2998976393124757e-09,6.590948289362795e-10,-7.21656941663278e-11
2448612500.0,-1387500.0,0.00538392714992701,1.3139127031716292e-09,6.641281207575161e-10,2.605068518829536e-09
2448620000.0,-1380000.0,0.005442287768230439,1.3281552357354037e-09,6.692179020786769e-10,3.673626273602843e-09
2448627500.0,-1372500.0,0.00550160071146398,1.342630177057391e-09,6.743649993720387e-10,6.010456959813003e-09
2448635000.0,-1365000.0,0.005561886773606236,1.3573426017739804e-09,6.795702538388782e-10,7.864637787627517e-09
2448642500.0,-1357500.0,0.005623167318198387,1.3722977235196368e-09,6.848345217148581e-10,2.8859511117864877e-09
2448650000.0,-1350000.0,0.005685464297131222,1.387500899511752e-09,6.901586745825169e-10,9.858333403054055e-11
2448657500.0,-1342500.0,0.005748800270157697,1.4029576353125603e-09,6.955435996910374e-10,-2.165591326459021e-09
2448665000.0,-1335000.0,0.005813198425163144,1.4186735897759522e-09,7.009902002834859e-10,2.65508671474711e-09
2448672500.0,-1327500.0,0.005878682599226826,1.4346545801874107e-09,7.064993959317004e-10,5.15271785498459e-10
2448680000.0,-1320000.0,0.005945277300510319,1.4509065876057297e-09,7.12072122879033e-10,1.332264190125392e-09
2448687500.0,-1312500.0,0.006013007731009939,1.4674357624155967e-09,7.177093343911312e-10,9.609514986871119e-10
2448695000.0,-1305000.0,0.006081899810212302,1.4842484301005816e-09,7.234120011149774e-10,1.9260786583827886e-09
