pressure_Pa,candidate_residual_force_N,ehd_plasma_artifact_force_N,measured_force_N
9.999999999999999e-06,3.187507612608e-07,1.919999808000019e-12,3.202327097332167e-07
1.1558276558669088e-05,3.187507612608e-07,2.2191888427644812e-12,3.200267930163872e-07
1.3359375700667907e-05,3.187507612608e-07,2.564999791860279e-12,3.194349090765961e-07
1.5441135899948328e-05,3.187507612608e-07,2.9646976350070876e-12,3.1518650369900666e-07
1.7847291911159613e-05,3.187507612608e-07,3.4266794353731637e-12,3.189214300950565e-07
2.0628393573248058e-05,3.187507612608e-07,3.960650749045002e-12,3.176423379938508e-07
2.384286778806726e-05,3.187507612608e-07,4.5778295238230725e-12,3.1619565717504376e-07
2.7558245984626415e-05,3.187507612608e-07,5.291181770891383e-12,3.2211968568117256e-07
3.1852582856214335e-05,3.187507612608e-07,6.115693960386666e-12,3.2221486763653176e-07
3.68160961760047e-05,3.187507612608e-07,7.068687863377981e-12,3.2147627114925463e-07
4.2553062141282094e-05,3.187507612608e-07,8.170184454462493e-12,3.192693582789662e-07
4.918400606471699e-05,3.187507612608e-07,9.443324519820357e-12,3.2146145482722514e-07
5.684823443592555e-05,3.187507612608e-07,1.0914854806795456e-11,3.187857824768104e-07
6.570676154824832e-05,3.187507612608e-07,1.2615689927902376e-11,3.191689715045234e-07
7.594569217491763e-05,3.187507612608e-07,1.4581561823516127e-11,3.165784000816995e-07
8.778013135972489e-05,3.187507612608e-07,1.6853770426805357e-11,3.1956159764022446e-07
0.00010145870346119994,3.187507612608e-07,1.9480051300342906e-11,3.188910131689491e-07
0.00011726877538885457,3.187507612608e-07,2.2515578470916934e-11,3.16167972605602e-07
0.00013554249376408254,3.187507612608e-07,2.6024123528957835e-11,3.186743911606958e-07
0.00015666376283769462,3.187507612608e-07,3.007939534132479e-11,3.1862138152842766e-07
0.00018107630975998157,3.187507612608e-07,3.476658851986094e-11,3.2238065018260917e-07
0.00020929300664290976,3.187507612608e-07,4.018417317277444e-11,3.205793720909996e-07
0.00024190664525741126,3.187507612608e-07,4.6445963533550715e-11,3.188200981025165e-07
0.00027960239072650155,3.187507612608e-07,5.3683508919113936e-11,3.193020193893213e-07
0.0003231721758481955,3.187507612608e-07,6.20488572382115e-11,3.189012348742466e-07
0.0003735313384520279,3.187507612608e-07,7.171774909452124e-11,3.184166510403034e-07
0.0004317378513158359,3.187507612608e-07,8.289330957084687e-11,3.1666880017559425e-07
0.0004990145486353981,3.187507612608e-07,9.581031523058432e-11,3.185444678208167e-07
0.0005767748159927351,3.187507612608e-07,1.1074012594944746e-10,3.1736930487344445e-07
0.0006666522835319501,3.187507612608e-07,1.2799638514730998e-10,3.1637812656810104e-07
0.000770535146153055,3.187507612608e-07,1.4794160811930018e-10,3.199211464980144e-07
0.0008906058317411506,3.187507612608e-07,1.7099479680466858e-10,3.1970428537747114e-07
0.0010293868508027717,3.187507612608e-07,1.9764024087148075e-10,3.1537498647893533e-07
0.0011897937907435858,3.187507612608e-07,2.2843768988531848e-10,3.1873382967569503e-07
0.0013751965681201607,3.187507612608e-07,2.6403411009105017e-10,3.2100619814269087e-07
0.0015894902256865415,3.187507612608e-07,3.051772725688975e-10,3.2117438601116155e-07
0.0018371767615786374,3.187507612608e-07,3.5273145792272265e-10,3.211551664044932e-07
0.002123459709748593,3.187507612608e-07,4.076956070197764e-10,3.192362832816227e-07
0.0024543534586465407,3.187507612608e-07,4.712242985502664e-10,3.1753189490341194e-07
0.002836809604776268,3.187507612608e-07,5.446519933769828e-10,3.171280155994608e-07
0.003278862995629283,3.187507612608e-07,6.29521054027932e-10,3.2006949212432865e-07
0.0037898005301469405,3.187507612608e-07,7.276141266641829e-10,3.2023693545619454e-07
0.0043803562629629025,3.187507612608e-07,8.409915640622299e-10,3.2216641504807235e-07
0.005062936911282339,3.187507612608e-07,9.720346734639358e-10,3.219227552349481e-07
0.005851882501969508,3.187507612608e-07,1.123495694730175e-09,3.1960979964246777e-07
0.006763767634659991,3.187507612608e-07,1.2985555545744e-09,3.175609050576526e-07
0.007817749689997516,3.187507612608e-07,1.5008906046089341e-09,3.1961343867138713e-07
0.009035971298344074,3.187507612608e-07,1.734749737793657e-09,3.2091997338821473e-07
0.010444025524245698,3.187507612608e-07,2.005043493400951e-09,3.203516382634221e-07
0.012071493539503058,3.187507612608e-07,2.3174470091185996e-09,3.199124200537633e-07
0.013952566080576339,3.187507612608e-07,2.678518965342037e-09,3.219350498560818e-07
0.016126761746240677,3.187507612608e-07,3.095838996699165e-09,3.2083868477467796e-07
0.01863975722588148,3.187507612608e-07,3.5781664258343303e-09,3.210727955191836e-07
0.021544346900318843,3.187507612608e-07,4.135623611763808e-09,3.235092905411707e-07
0.024901551974979008,3.187507612608e-07,4.779907707993707e-09,3.2272668380853526e-07
0.028781902446687952,3.187507612608e-07,5.524535203431202e-09,3.247635052421879e-07
0.03326691883634535,3.187507612608e-07,6.385124282465658e-09,3.256822935889699e-07
0.03845082481652772,3.187507612608e-07,7.379720801256083e-09,3.2385162405987294e-07
0.044442526713836354,3.187507612608e-07,8.529174548379447e-09,3.2631745356144864e-07
0.051367901472455894,3.187507612608e-07,9.857573454092058e-09,3.31483888594725e-07
0.05937244114571097,3.187507612608e-07,1.1392744549424018e-08,3.278193467847554e-07
0.06862430947254305,3.187507612608e-07,1.316683177134577e-08,3.276842841342047e-07
0.07931787475313466,3.187507612608e-07,1.5216962181597423e-08,3.3024403313591236e-07
0.0916777932442606,3.187507612608e-07,1.7586013833495856e-08,3.3639499498744917e-07
0.10596372886056477,3.187507612608e-07,2.0323500402367097e-08,3.3913609621923243e-07
0.12247580833582329,3.187507612608e-07,2.348658980975805e-08,3.420021293597078e-07
0.14156092644919915,3.187507612608e-07,2.7141276435873477e-08,3.483204173545304e-07
0.16362003378012577,3.187507612608e-07,3.1363729141568e-08,3.447688215361621e-07
0.1891165600969468,3.187507612608e-07,3.624184021707941e-08,3.5578446922674107e-07
0.21858615034246742,3.187507612608e-07,4.187700353584596e-08,3.637506412002531e-07
0.2526479177553053,3.187507612608e-07,4.8386153599467676e-08,3.648813533304842e-07
