geometry,geometry_sign,voltage_V,energy_density_J_per_m3,candidate_residual_force_N,non_inverting_artifact_force_N,measured_force_N
normal,1,0.0,0.0,0.0,0.0,2.6715686726404658e-09
normal,1,63.29113924050633,4.433478114885435e-05,7.980260606793782e-11,1.6807687105912669e-09,1.377883343269084e-09
normal,1,126.58227848101266,0.0001773391245954174,3.192104242717513e-10,6.7230748423650674e-09,9.849928050769933e-09
normal,1,189.873417721519,0.00039901303033968924,7.182234546114406e-10,1.5126918395321404e-08,1.496007042614848e-08
normal,1,253.16455696202533,0.0007093564983816696,1.2768416970870051e-09,2.689229936946027e-08,3.1079232219088696e-08
normal,1,316.45569620253167,0.001108369528721359,1.9950651516984457e-09,4.201921776478169e-08,4.4277254550091044e-08
normal,1,379.746835443038,0.001596052121358757,2.8728938184457624e-09,6.050767358128562e-08,6.389702504637678e-08
normal,1,443.03797468354435,0.0021724042762938634,3.910327697328954e-09,8.23576668189721e-08,8.939743055964086e-08
normal,1,506.32911392405066,0.0028374259935266782,5.1073667883480205e-09,1.0756919747784108e-07,1.1195302331130076e-07
normal,1,569.620253164557,0.0035911172730572023,6.464011091502964e-09,1.3614226555789262e-07,1.4072403245754567e-07
normal,1,632.9113924050633,0.004433478114885436,7.980260606793783e-09,1.6807687105912675e-07,1.7516000324986384e-07
normal,1,696.2025316455697,0.005364508519011378,9.65611533422048e-09,2.0337301398154337e-07,2.1393379721705012e-07
normal,1,759.493670886076,0.006384208485435028,1.149157527378305e-08,2.4203069432514247e-07,2.503907514545645e-07
normal,1,822.7848101265823,0.007492578014156387,1.3486640425481497e-08,2.840499120899242e-07,2.98811494320708e-07
normal,1,886.0759493670887,0.008689617105175454,1.5641310789315815e-08,3.294306672758884e-07,3.4399443542996874e-07
normal,1,949.367088607595,0.00997532575849223,1.795558636528601e-08,3.78172959883035e-07,3.9842417156978814e-07
normal,1,1012.6582278481013,0.011349703974106713,2.0429467153392082e-08,4.302767899113643e-07,4.4591773645495543e-07
normal,1,1075.9493670886077,0.01281275175201891,2.3062953153634033e-08,4.857421573608763e-07,5.07231978964302e-07
normal,1,1139.240506329114,0.01436446909222881,2.5856044366011854e-08,5.445690622315705e-07,5.670521702951142e-07
normal,1,1202.5316455696204,0.016004855994736427,2.8808740790525566e-08,6.067575045234476e-07,6.339137863812452e-07
normal,1,1265.8227848101267,0.017733912459541742,3.192104242717513e-08,6.72307484236507e-07,7.047238584659e-07
normal,1,1329.113924050633,0.01955163848664477,3.5192949275960585e-08,7.412190013707489e-07,7.7605349739581e-07
normal,1,1392.4050632911394,0.02145803407604551,3.862446133688192e-08,8.134920559261735e-07,8.516097621251594e-07
normal,1,1455.6962025316457,0.02345309922774395,4.2215578609939105e-08,8.891266479027804e-07,9.310238567699594e-07
normal,1,1518.987341772152,0.02553683394174011,4.59663010951322e-08,9.681227773005699e-07,1.014495854876942e-06
normal,1,1582.2784810126584,0.027709238218033977,4.9876628792461153e-08,1.0504804441195421e-06,1.0983400008281172e-06
normal,1,1645.5696202531647,0.029970312056625547,5.394656170192599e-08,1.1361996483596968e-06,1.191559909343421e-06
normal,1,1708.860759493671,0.03232005545751482,5.8176099823526664e-08,1.2252803900210335e-06,1.284781821785331e-06
normal,1,1772.1518987341774,0.034758468420701814,6.256524315726326e-08,1.3177226691035537e-06,1.381057988136129e-06
normal,1,1835.4430379746836,0.03728555094618652,6.711399170313573e-08,1.4135264856072556e-06,1.481753544195894e-06
normal,1,1898.73417721519,0.03990130303396892,7.182234546114405e-08,1.51269183953214e-06,1.5851070209949013e-06
normal,1,1962.0253164556964,0.04260572468404904,7.669030443128826e-08,1.6152187308782078e-06,1.6959791819149581e-06
normal,1,2025.3164556962026,0.04539881589642685,8.171786861356833e-08,1.7211071596454573e-06,1.8026508399169206e-06
normal,1,2088.607594936709,0.04828057667110241,8.690503800798432e-08,1.8303571258338898e-06,1.916647997405205e-06
normal,1,2151.8987341772154,0.05125100700807564,9.225181261453613e-08,1.942968629443505e-06,2.033713386897326e-06
normal,1,2215.1898734177216,0.054310106907346584,9.775819243322383e-08,2.0589416704743017e-06,2.15463533756637e-06
normal,1,2278.481012658228,0.05745787636891524,1.0342417746404742e-07,2.178276248926282e-06,2.2792114828151274e-06
normal,1,2341.772151898734,0.06069431539278161,1.0924976770700689e-07,2.3009723647994443e-06,2.4084445378799895e-06
normal,1,2405.063291139241,0.06401942397894571,1.1523496316210226e-07,2.4270300180937903e-06,2.5421236204925885e-06
normal,1,2468.354430379747,0.06743320212740748,1.2137976382933346e-07,2.556449208809318e-06,2.678497562895647e-06
normal,1,2531.6455696202534,0.07093564983816697,1.2768416970870053e-07,2.689229936946028e-06,2.817016390771833e-06
normal,1,2594.9367088607596,0.07452676711122418,1.341481808002035e-07,2.8253722025039205e-06,2.9579893127492647e-06
normal,1,2658.227848101266,0.07820655394657908,1.4077179710384234e-07,2.9648760054829954e-06,3.1074481717148776e-06
normal,1,2721.518987341772,0.08197501034423171,1.4755501861961708e-07,3.1077413458832528e-06,3.2567751898474717e-06
normal,1,2784.810126582279,0.08583213630418204,1.5449784534752767e-07,3.253968223704694e-06,3.408146772437377e-06
normal,1,2848.101265822785,0.08977793182643008,1.6160027728757416e-07,3.4035566389473165e-06,3.5638510839455615e-06
normal,1,2911.3924050632913,0.0938123969109758,1.6886231443975642e-07,3.5565065916111216e-06,3.7264657618925377e-06
normal,1,2974.6835443037976,0.09793553155781928,1.7628395680407468e-07,3.712818081696109e-06,3.889477985675156e-06
normal,1,3037.974683544304,0.10214733576696045,1.838652043805288e-07,3.8724911092022795e-06,4.053460059063978e-06
normal,1,3101.26582278481,0.10644780953839927,1.916060571691187e-07,4.035525674129631e-06,4.226995770786781e-06
normal,1,3164.556962025317,0.11083695287213591,1.9950651516984461e-07,4.2019217764781685e-06,4.401952363272162e-06
normal,1,3227.848101265823,0.11531476576817017,2.075665783827063e-07,4.371679416247887e-06,4.577446605057618e-06
normal,1,3291.1392405063293,0.11988124822650219,2.1578624680770395e-07,4.544798593438787e-06,4.7609645270321665e-06
normal,1,3354.4303797468356,0.12453640024713189,2.2416552044483738e-07,4.721279308050869e-06,4.942535183525192e-06
normal,1,3417.721518987342,0.12928022183005927,2.3270439929410666e-07,4.901121560084134e-06,5.136498331578265e-06
normal,1,3481.012658227848,0.1341127129752844,2.4140288335551186e-07,5.084325349538582e-06,5.328224132864212e-06
normal,1,3544.303797468355,0.13903387368280726,2.5026097262905304e-07,5.270890676414215e-06,5.520646614374661e-06
normal,1,3607.594936708861,0.1440437039526278,2.5927866711473004e-07,5.4608175407110265e-06,5.720823116501434e-06
normal,1,3670.8860759493673,0.14914220378474607,2.684559668125429e-07,5.6541059424290226e-06,5.917742065309966e-06
normal,1,3734.1772151898736,0.154329373179162,2.777928717224916e-07,5.850755881568201e-06,6.126236057970162e-06
normal,1,3797.46835443038,0.15960521213587567,2.872893818445762e-07,6.05076735812856e-06,6.337469182132832e-06
normal,1,3860.759493670886,0.16496972065488705,2.9694549717879663e-07,6.2541403721101044e-06,6.548941603246047e-06
normal,1,3924.0506329113928,0.17042289873619615,3.0676121772515306e-07,6.460874923512831e-06,6.769064934203245e-06
normal,1,3987.341772151899,0.17596474637980294,3.167365434836453e-07,6.67097101233674e-06,6.991702148881882e-06
normal,1,4050.6329113924053,0.1815952635857074,3.268714744542733e-07,6.884428638581829e-06,7.208946883597243e-06
normal,1,4113.9240506329115,0.18731445035390965,3.3716601063703736e-07,7.101247802248104e-06,7.436738886076971e-06
normal,1,4177.215189873418,0.19312230668440963,3.476201520319373e-07,7.321428503335559e-06,7.669519552104115e-06
normal,1,4240.506329113924,0.19901883257720718,3.582338986389729e-07,7.5449707418441965e-06,7.906426872780168e-06
normal,1,4303.797468354431,0.20500402803230255,3.6900725045814453e-07,7.77187451777402e-06,8.138437019607084e-06
normal,1,4367.088607594937,0.21107789304969557,3.79940207489452e-07,8.00213983112502e-06,8.382578110859088e-06
normal,1,4430.379746835443,0.21724042762938633,3.910327697328953e-07,8.235766681897207e-06,8.630442049331729e-06
normal,1,4493.67088607595,0.22349163177137485,4.022849371884747e-07,8.47275507009058e-06,8.871736488982697e-06
normal,1,4556.962025316456,0.22983150547566095,4.1369670985618967e-07,8.713104995705128e-06,9.124239567147627e-06
normal,1,4620.2531645569625,0.2362600487422449,4.2526808773604076e-07,8.956816458740865e-06,9.381237333263984e-06
normal,1,4683.544303797468,0.24277726157112645,4.3699907082802756e-07,9.203889459197777e-06,9.639847353200093e-06
normal,1,4746.835443037975,0.24938314396230574,4.488896591321503e-07,9.454323997075877e-06,9.904838858783535e-06
normal,1,4810.126582278482,0.25607769591578283,4.6093985264840906e-07,9.708120072375161e-06,1.0169543244463211e-05
normal,1,4873.4177215189875,0.2628609174315575,4.7314965137680343e-07,9.965277685095624e-06,1.0434877412353143e-05
normal,1,4936.708860759494,0.26973280850962994,4.855190553173338e-07,1.0225796835237272e-05,1.0712346711360407e-05
normal,1,5000.0,0.27669336915000003,4.980480644700001e-07,1.0489677522800096e-05,1.0986570509495385e-05
reversed,-1,0.0,0.0,-0.0,0.0,2.5488944338824785e-09
reversed,-1,63.29113924050633,4.433478114885435e-05,-7.980260606793782e-11,1.6807687105912669e-09,3.457910316494897e-10
reversed,-1,126.58227848101266,0.0001773391245954174,-3.192104242717513e-10,6.7230748423650674e-09,5.130633851888845e-09
reversed,-1,189.873417721519,0.00039901303033968924,-7.182234546114406e-10,1.5126918395321404e-08,1.5490958162319027e-08
reversed,-1,253.16455696202533,0.0007093564983816696,-1.2768416970870051e-09,2.689229936946027e-08,2.7141310637047138e-08
reversed,-1,316.45569620253167,0.001108369528721359,-1.9950651516984457e-09,4.201921776478169e-08,4.0920351340955644e-08
reversed,-1,379.746835443038,0.001596052121358757,-2.8728938184457624e-09,6.050767358128562e-08,5.426358512807024e-08
reversed,-1,443.03797468354435,0.0021724042762938634,-3.910327697328954e-09,8.23576668189721e-08,7.952340800149966e-08
reversed,-1,506.32911392405066,0.0028374259935266782,-5.1073667883480205e-09,1.0756919747784108e-07,1.0039321458614427e-07
