time_s,drive_on,instant_candidate_residual_N,delayed_thermal_artifact_N,total_force_N
0.0,0.0,0.0,0.0,-5.6035569791487875e-11
1.0,0.0,0.0,0.0,3.8636315962639675e-10
2.0,0.0,0.0,0.0,4.413050614280804e-09
3.0,0.0,0.0,0.0,-1.0475455570824707e-09
4.0,0.0,0.0,0.0,8.445780382507191e-10
5.0,0.0,0.0,0.0,2.1369241344885964e-09
6.0,0.0,0.0,0.0,1.960038281987658e-10
7.0,0.0,0.0,0.0,4.675690238344331e-09
8.0,0.0,0.0,0.0,-7.560785834629535e-10
9.0,0.0,0.0,0.0,6.481784446400942e-10
10.0,0.0,0.0,0.0,-1.597611489785964e-09
11.0,0.0,0.0,0.0,-7.030494702865863e-10
12.0,0.0,0.0,0.0,4.978678207933158e-10
13.0,0.0,0.0,0.0,1.6926081246154595e-09
14.0,0.0,0.0,0.0,6.381896680471484e-10
15.0,0.0,0.0,0.0,2.518229698669472e-09
16.0,0.0,0.0,0.0,-1.899306211853435e-10
17.0,0.0,0.0,0.0,-6.643370596780108e-10
18.0,0.0,0.0,0.0,5.407970214558773e-09
19.0,0.0,0.0,0.0,7.884752988840616e-10
20.0,0.0,0.0,0.0,-1.4389630919570953e-09
21.0,0.0,0.0,0.0,-1.3885275244961378e-09
22.0,0.0,0.0,0.0,-1.885359829062681e-09
23.0,0.0,0.0,0.0,1.873138711713576e-09
24.0,0.0,0.0,0.0,-7.287545857864837e-10
25.0,0.0,0.0,0.0,2.547249513129713e-10
26.0,0.0,0.0,0.0,-1.2701734887653743e-10
27.0,0.0,0.0,0.0,1.4629848158818693e-09
28.0,0.0,0.0,0.0,-1.6934881857680403e-09
29.0,0.0,0.0,0.0,-2.151144572286031e-09
30.0,0.0,0.0,0.0,4.485946143631886e-10
31.0,0.0,0.0,0.0,1.2019185693997942e-09
32.0,0.0,0.0,0.0,6.650646261952816e-10
33.0,0.0,0.0,0.0,-1.6189074581946554e-09
34.0,0.0,0.0,0.0,1.3549696841827878e-09
35.0,0.0,0.0,0.0,-1.4877218541912686e-09
36.0,0.0,0.0,0.0,-1.0430772895727668e-09
37.0,0.0,0.0,0.0,-1.8879070494440046e-09
38.0,0.0,0.0,0.0,2.602316697304062e-09
39.0,0.0,0.0,0.0,1.2668430820546985e-09
40.0,0.0,0.0,0.0,1.2099867513577467e-09
41.0,0.0,0.0,0.0,2.4944228422849007e-09
42.0,0.0,0.0,0.0,5.625298496477447e-09
43.0,0.0,0.0,0.0,-3.4184522078203113e-09
44.0,0.0,0.0,0.0,-1.4767531617542163e-09
45.0,0.0,0.0,0.0,-1.2323501683490477e-09
46.0,0.0,0.0,0.0,-1.7016392447653857e-09
47.0,0.0,0.0,0.0,-2.1551664952074254e-09
48.0,0.0,0.0,0.0,-5.993061281107313e-10
